=== Radiolytics Server Log ===
Started at: 2025-05-23 15:13:16
================================================================================

2025-05-23 15:13:28,653 | DEBUG    | https://storage.googleapis.com:443 "PATCH /storage/v1/b/newbuckettest.firebasestorage.app/o/fingerprints%2F15-13-06_AppFingerprint_7s.json?projection=full&prettyPrint=false HTTP/1.1" 200 4310
2025-05-23 15:13:29,065 | DEBUG    | https://storage.googleapis.com:443 "GET /download/storage/v1/b/newbuckettest.firebasestorage.app/o/fingerprints%2F15-13-13_AppFingerprint_7s.json?generation=1748005991706589&alt=media HTTP/1.1" 200 2782
2025-05-23 15:13:29,437 | DEBUG    | https://storage.googleapis.com:443 "GET /storage/v1/b/newbuckettest.firebasestorage.app/o/fingerprints%2F15-13-13_AppFingerprint_7s.json/acl?prettyPrint=false HTTP/1.1" 200 2664
2025-05-23 15:13:29,828 | DEBUG    | https://storage.googleapis.com:443 "PATCH /storage/v1/b/newbuckettest.firebasestorage.app/o/fingerprints%2F15-13-13_AppFingerprint_7s.json?projection=full&prettyPrint=false HTTP/1.1" 200 4310
2025-05-23 15:13:30,239 | DEBUG    | https://storage.googleapis.com:443 "GET /download/storage/v1/b/newbuckettest.firebasestorage.app/o/fingerprints%2F15-13-20_AppFingerprint_7s.json?generation=1748005998429527&alt=media HTTP/1.1" 200 2736
2025-05-23 15:13:30,607 | DEBUG    | https://storage.googleapis.com:443 "GET /storage/v1/b/newbuckettest.firebasestorage.app/o/fingerprints%2F15-13-20_AppFingerprint_7s.json/acl?prettyPrint=false HTTP/1.1" 200 2664
2025-05-23 15:13:31,004 | DEBUG    | https://storage.googleapis.com:443 "PATCH /storage/v1/b/newbuckettest.firebasestorage.app/o/fingerprints%2F15-13-20_AppFingerprint_7s.json?projection=full&prettyPrint=false HTTP/1.1" 200 4310
2025-05-23 15:13:31,073 | INFO     | WARNING: No match found for AppFingerprint 15-13-20_AppFingerprint_7s.json (ts=1748006000757). Best similarity was -inf with Ref None (station None) at offset 0
2025-05-23 15:13:31,073 | INFO     | SUMMARY: AppFingerprint 15-13-20_AppFingerprint_7s.json (ts=1748006000757) BEST SIMILARITY: -inf with Ref None (station None) at offset 0
2025-05-23 15:13:32,430 | ERROR    | Error in match loop: 'FingerprintMatcher' object has no attribute '_process_incoming_fingerprints'
