2025-05-27 21:11:41,996 | INFO     | COMPARE | App: 21-11-32_AppFingerprint_7s.json | Ref: 1748373075_Smile FM | sim=1.000 | offset=1 | MATCH FOUND | non-silent frames: 107
2025-05-27 21:11:41,996 | INFO     | COMPARE | App: 21-11-32_AppFingerprint_7s.json | Ref: 1748373075_Smile FM | sim=1.000 | offset=1 | MATCH FOUND | non-silent frames: 107
2025-05-27 21:11:41,996 | INFO     | MATCH FOUND: AppFingerprint 21-11-32_AppFingerprint_7s.json (ts=1748373092470) best matches Ref ts=1748373075 (station=Smile FM) with similarity 0.9999 at offset 1 using 107 non-silent frames
2025-05-27 21:11:41,996 | INFO     | MATCH FOUND: AppFingerprint 21-11-32_AppFingerprint_7s.json (ts=1748373092470) best matches Ref ts=1748373075 (station=Smile FM) with similarity 0.9999 at offset 1 using 107 non-silent frames
2025-05-27 21:11:41,996 | INFO     | COMPARE | App: 21-11-32_AppFingerprint_7s.json | Ref: 1748373075_Smile FM | sim=0.991 | offset=2 | MATCH FOUND | non-silent frames: 107
2025-05-27 21:11:41,996 | INFO     | COMPARE | App: 21-11-32_AppFingerprint_7s.json | Ref: 1748373075_Smile FM | sim=0.991 | offset=2 | MATCH FOUND | non-silent frames: 107
2025-05-27 21:11:41,996 | INFO     | MATCH FOUND: AppFingerprint 21-11-32_AppFingerprint_7s.json (ts=1748373092470) best matches Ref ts=1748373075 (station=Smile FM) with similarity 0.9906 at offset 2 using 107 non-silent frames
2025-05-27 21:11:41,996 | INFO     | MATCH FOUND: AppFingerprint 21-11-32_AppFingerprint_7s.json (ts=1748373092470) best matches Ref ts=1748373075 (station=Smile FM) with similarity 0.9906 at offset 2 using 107 non-silent frames
2025-05-27 21:11:41,996 | INFO     | COMPARE | App: 21-11-32_AppFingerprint_7s.json | Ref: 1748373075_Smile FM | sim=0.981 | offset=3 | MATCH FOUND | non-silent frames: 107
2025-05-27 21:11:41,997 | INFO     | COMPARE | App: 21-11-32_AppFingerprint_7s.json | Ref: 1748373075_Smile FM | sim=0.981 | offset=3 | MATCH FOUND | non-silent frames: 107
2025-05-27 21:11:41,997 | INFO     | MATCH FOUND: AppFingerprint 21-11-32_AppFingerprint_7s.json (ts=1748373092470) best matches Ref ts=1748373075 (station=Smile FM) with similarity 0.9813 at offset 3 using 107 non-silent frames
2025-05-27 21:11:41,997 | INFO     | MATCH FOUND: AppFingerprint 21-11-32_AppFingerprint_7s.json (ts=1748373092470) best matches Ref ts=1748373075 (station=Smile FM) with similarity 0.9813 at offset 3 using 107 non-silent frames
2025-05-27 21:11:41,997 | INFO     | COMPARE | App: 21-11-32_AppFingerprint_7s.json | Ref: 1748373075_Smile FM | sim=0.972 | offset=4 | MATCH FOUND | non-silent frames: 107
